time,immune
0,237
1,254
2,269
3,291
4,318
5,337
6,358
7,375
8,397
9,421
10,438
11,460
12,476
13,492
14,492
15,495
16,503
17,513
18,513
19,513
20,518
21,518
22,520
23,520
24,523
25,524
26,524
27,525
28,525
29,525
30,527
31,527
32,528
33,528
34,528
35,528
36,528
37,529
38,529
39,529
40,529
41,529
42,529
43,529
44,529
45,529
46,529
47,529
48,529
49,530
50,530
51,530
52,530
53,531
54,531
55,531
56,531
57,531
58,532
59,532
60,532
61,532
62,532
63,532
64,532
65,532
66,532
67,532
68,532
69,532
70,532
71,532
72,532
73,532
74,532
75,532
76,532
77,532
78,532
79,532
80,532
81,532
82,532
83,532
84,532
85,532
86,532
87,532
88,532
89,532
90,532
91,532
92,532
93,532
94,532
95,532
96,532
97,532
98,532
99,532
100,532
101,532
