time,cases
0,2500
1,2331
2,2135
3,1945
4,1744
5,1575
6,1388
7,1179
8,1011
9,806
10,626
11,419
12,224
13,49
14,49
15,44
16,36
17,34
18,31
19,19
20,17
21,15
22,13
23,11
24,6
25,6
26,5
27,5
28,5
29,5
30,5
31,4
32,3
33,3
34,3
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
