time,immune
0,518
1,522
2,531
3,539
4,544
5,551
6,560
7,568
8,580
9,584
10,592
11,600
12,607
13,614
14,614
15,614
16,615
17,615
18,615
19,617
20,618
21,618
22,618
23,619
24,619
25,619
26,620
27,620
28,620
29,620
30,620
31,620
32,620
33,620
34,620
35,620
36,620
37,620
38,620
39,620
40,620
41,620
42,620
43,620
44,620
45,620
46,620
47,620
48,620
49,620
50,620
51,620
52,620
53,620
54,620
55,620
56,620
57,620
58,620
59,620
60,620
61,620
62,620
63,620
64,620
65,620
66,620
67,620
68,620
69,620
70,620
71,620
72,620
73,620
74,620
75,620
76,620
77,620
78,620
79,620
80,620
81,620
82,620
83,620
84,620
85,620
86,620
87,620
88,620
89,620
90,620
91,620
92,620
93,620
94,620
95,620
96,620
97,620
98,620
99,620
100,620
101,620
102,620
